mor0,mor1,mor2,mor3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,label
0.0,2.0,0.0,154.9928614,5,6,6,6,6,6,4,4,6,6,6,6,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,5,6,6,4,4,6,4,5,6,6,6,6,4,0,0,0,0,0,0,0,0,0,5,6,6,6,6,3,0,0,0,0,0,0,0,0,1,6,6,6,6,6,2,0,0,0,0,0,0,0,0,5,6,6,6,6,4,0,0,0,0,0,0,0,0,2,6,6,6,6,6,3,0,0,0,0,0,0,0,0,3,6,6,6,6,5,0,0,0,0,0,0,0,0,0,4,6,6,6,6,1,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0,0,0,4,6,6,6,4,0,0,0,0,0,0,0,0,0,1,6,6,6,6,5,0,0,0,0,0,0,0,0,0,5,6,6,6,3,0,0,0,0,0,0,0,0,1,5,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,4,4,4,4,3,0,0,0,0,0,0,7
0.0,2.0,0.0,167.9188614,3,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,0,0,0,1,6,6,6,6,5,1,6,6,6,2,0,0,0,0,3,6,6,6,6,1,0,5,6,5,0,0,0,0,0,3,6,6,6,6,2,0,0,2,0,0,0,0,0,0,4,6,6,6,5,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,2,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,0,0,0,7
0.0,2.0,0.0,154.5788614,5,6,6,6,6,6,6,6,6,6,6,6,6,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,2,2,2,2,2,2,2,2,3,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0,0,0,1,6,6,6,6,2,0,0,0,0,0,0,0,1,5,6,6,6,6,4,0,0,0,0,0,0,0,0,3,6,6,6,6,6,2,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,5,6,6,6,4,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,1,5,6,6,6,4,0,0,0,0,0,0,0,0,1,6,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,0,0,0,0,7
0.0,2.0,0.0,151.2708614,5,6,6,6,6,6,6,6,6,6,6,6,6,5,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,3,4,2,2,4,4,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,4,0,0,0,0,0,0,0,0,0,3,6,6,6,6,2,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,5,6,6,6,6,6,0,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,1,4,6,6,6,6,4,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0,2,6,6,6,6,6,6,3,0,0,0,0,0,0,0,3,6,6,6,6,6,6,2,0,0,0,0,0,0,0,3,6,6,6,6,6,6,0,0,0,0,0,0,0,0,2,6,6,6,6,6,4,0,0,0,0,0,0,0,0,0,3,4,4,4,4,1,0,0,7
0.0,2.0,0.0,167.4888614,0,2,5,5,4,6,6,6,4,4,6,6,6,5,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,5,2,2,0,3,6,6,6,6,3,0,3,6,6,6,3,0,0,0,0,6,6,6,4,0,0,3,6,6,6,3,0,0,0,5,6,6,6,2,0,0,0,3,6,6,2,0,0,5,6,6,6,3,0,0,0,0,0,0,0,0,0,0,6,6,6,4,0,0,0,0,0,0,0,0,0,0,4,6,6,6,1,0,0,0,0,0,0,0,0,0,0,6,6,6,6,2,0,0,0,0,0,0,0,0,0,1,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,0,0,0,0,0,7
0.0,2.0,0.0,159.1688614,1,4,4,4,4,4,6,4,6,4,4,4,4,3,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6,6,6,6,6,3,3,6,6,6,6,6,3,0,4,6,6,6,6,1,0,0,5,6,6,6,6,2,0,6,6,6,6,6,0,0,0,4,6,6,6,2,0,0,1,2,4,4,1,0,0,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,4,0,0,0,0,0,0,0,0,0,3,6,6,6,4,0,0,0,0,0,0,0,0,0,0,3,6,6,6,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,2,0,0,0,0,0,0,0,0,0,1,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,4,0,0,0,0,0,0,0,0,0,0,5,6,6,6,5,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,0,0,0,0,0,0,7
0.0,2.0,0.0,153.8348614,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,5,6,4,6,6,5,5,6,6,6,6,6,5,1,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,2,6,6,6,6,2,0,0,0,0,0,0,0,0,0,6,6,6,6,4,0,0,0,0,0,0,0,0,0,2,6,6,6,5,1,0,0,0,0,0,0,0,0,1,6,6,6,6,5,0,0,0,0,0,0,0,0,0,5,6,6,6,6,1,0,0,0,0,0,0,0,0,0,6,6,6,6,5,0,0,0,0,0,0,0,0,0,0,4,6,6,6,3,0,0,0,0,0,0,0,0,0,0,4,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,3,6,6,6,6,6,3,0,0,0,0,0,0,0,0,1,4,4,4,4,3,0,0,0,0,0,0,7
0.0,2.0,0.0,158.4828614,0,3,6,6,6,6,6,6,6,6,6,6,6,3,0,5,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,2,0,0,0,3,6,6,6,6,5,1,5,6,6,5,0,0,0,1,6,6,6,6,6,0,0,0,3,3,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,5,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,3,0,0,0,0,0,0,0,0,0,0,6,6,6,6,3,0,0,0,0,0,0,0,0,0,2,6,6,6,6,1,0,0,0,0,0,0,0,0,0,3,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,0,6,6,6,6,5,0,0,0,0,0,0,0,0,0,2,4,4,4,3,0,0,0,0,0,0,0,7
0.0,2.0,0.0,171.4168614,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,2,2,2,4,6,6,6,6,6,5,5,6,6,6,6,2,0,0,2,6,6,6,6,6,1,2,6,6,6,6,1,0,0,4,6,6,6,6,2,0,0,5,6,5,1,0,0,0,6,6,6,6,6,0,0,0,0,2,0,0,0,0,1,6,6,6,6,2,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,5,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,0,0,0,0,0,0,0,0,0,0,4,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,0,0,0,0,7
0.0,2.0,0.0,159.0128614,0,2,1,0,5,6,6,5,4,4,4,4,4,4,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,5,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,1,0,0,0,0,0,0,0,0,3,6,6,6,6,6,1,0,0,0,0,0,0,0,4,6,6,6,6,6,2,0,0,0,0,0,0,0,0,6,6,6,6,6,1,0,0,0,0,0,0,0,1,5,6,6,6,6,3,0,0,0,0,0,0,0,0,3,6,6,6,6,3,0,0,0,0,0,0,0,0,1,6,6,6,6,5,0,0,0,0,0,0,0,0,3,6,6,6,6,6,3,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1,0,0,0,0,0,0,1,5,6,6,6,6,6,6,2,0,0,0,0,0,0,3,6,6,6,6,6,6,5,1,0,0,0,0,0,0,2,4,4,4,4,4,3,0,0,0,0,0,0,0,7
0.0,2.0,0.0,150.7828614,3,6,4,4,4,4,4,2,2,3,4,4,4,4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,5,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,6,2,0,0,0,0,0,0,0,0,0,5,6,6,6,5,0,0,0,0,0,0,0,0,0,0,4,6,6,6,1,0,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,3,6,6,6,6,2,0,0,0,0,0,0,0,0,0,3,6,6,6,3,0,0,0,0,0,0,0,0,0,2,6,6,6,6,3,0,0,0,0,0,0,0,0,0,1,6,6,6,6,3,0,0,0,0,0,0,0,0,0,6,6,6,6,6,3,0,0,0,0,0,0,0,0,3,6,6,6,6,6,3,0,0,0,0,0,0,0,0,1,4,4,4,4,4,1,0,0,0,7
0.0,2.0,0.0,147.9128614,2,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,1,6,6,6,6,6,6,5,0,0,0,0,0,0,0,0,3,6,6,6,6,6,3,0,0,0,0,0,0,0,0,0,3,6,6,6,6,1,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,0,0,0,0,0,0,0,0,0,1,5,6,6,6,6,4,0,0,0,0,0,0,0,0,3,6,6,6,6,6,4,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,1,5,6,6,6,6,3,0,0,0,0,0,0,0,0,0,4,6,6,6,6,1,0,0,0,0,0,0,0,0,5,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,2,0,0,0,0,0,0,0,0,4,4,4,4,4,3,0,7
2.0,0.0,2.0,134.5648614,0,0,0,0,3,5,6,6,6,6,6,3,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6,4,0,0,0,1,5,6,6,6,3,0,4,6,6,6,6,2,0,0,5,6,6,6,1,0,0,1,6,6,6,6,6,0,0,6,6,6,6,2,0,0,0,3,6,6,6,6,0,0,6,6,6,6,3,0,0,0,3,6,6,6,4,0,0,6,6,6,6,6,3,3,4,6,6,6,6,3,0,0,6,6,6,6,6,6,6,6,6,6,6,6,0,0,3,6,6,5,2,2,2,2,3,6,6,6,6,4,0,4,6,6,4,0,0,0,0,0,1,5,6,6,6,2,6,6,6,5,0,0,0,0,0,0,0,6,6,6,3,6,6,6,4,0,0,0,0,0,0,0,6,6,6,5,3,6,6,6,0,0,0,0,0,0,0,6,6,6,6,3,6,6,6,5,2,0,0,2,4,5,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,3,4,4,4,4,4,4,4,4,4,4,3,1,0,8
2.0,0.0,2.0,131.8928614,0,0,1,2,3,4,4,4,4,4,4,3,1,0,0,0,0,3,6,6,6,6,5,4,6,6,6,6,2,0,0,0,3,6,6,6,4,0,0,1,6,6,6,3,0,0,1,6,6,6,6,3,0,0,0,5,6,6,4,0,0,3,6,6,6,6,2,0,0,0,3,6,6,6,2,0,3,6,6,6,1,0,0,0,0,5,6,6,5,0,0,3,6,6,6,5,1,0,0,0,6,6,6,3,0,0,4,6,6,6,6,6,3,0,3,6,6,6,3,0,2,6,6,6,6,6,6,6,6,6,6,6,6,3,0,1,6,6,6,6,4,5,6,6,6,6,6,6,3,0,0,4,6,6,1,0,0,3,6,6,6,6,6,3,0,2,6,6,6,0,0,0,0,4,6,6,6,6,3,0,1,6,6,6,1,0,0,0,1,5,6,6,6,3,0,0,3,6,6,6,3,0,0,1,5,6,6,6,3,0,0,2,6,6,6,6,6,6,6,6,6,6,6,3,0,0,0,1,2,2,2,2,2,2,2,3,3,2,1,0,8
2.0,0.0,2.0,143.9678614,0,1,5,6,4,4,6,6,6,4,4,3,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,5,0,0,1,6,6,6,1,0,1,2,2,5,6,6,6,2,0,1,6,6,6,2,0,0,0,0,0,4,6,6,6,2,0,6,6,6,6,0,0,0,0,0,0,6,6,6,3,0,4,6,6,6,0,0,0,0,0,0,6,6,6,0,0,0,6,6,6,2,0,0,0,0,0,6,6,6,0,0,0,6,6,6,6,2,0,0,0,0,4,6,6,0,0,0,4,6,6,6,6,3,2,2,2,5,6,3,0,0,0,0,6,6,6,6,6,6,6,6,6,6,2,0,0,0,4,6,6,6,3,3,6,6,6,6,6,0,0,0,0,6,6,6,1,0,0,1,5,6,6,6,4,0,0,1,6,6,2,0,0,0,0,1,5,6,6,6,4,0,3,6,6,1,0,0,0,0,0,3,6,6,6,6,0,3,6,6,6,3,2,3,4,4,6,6,4,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,8
2.0,0.0,2.0,132.1998614,0,1,2,3,4,4,4,4,4,2,2,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6,5,1,0,0,3,6,6,6,6,5,1,0,1,5,6,6,6,1,0,3,6,6,6,6,0,0,0,0,3,6,6,6,5,0,1,5,6,6,6,5,1,0,0,1,6,6,6,6,0,0,0,4,6,6,6,6,5,4,6,6,6,6,3,0,0,1,6,6,6,6,6,6,6,6,6,6,6,2,0,0,5,6,6,6,6,6,6,6,6,6,6,4,0,0,1,6,6,6,5,1,0,3,6,6,6,6,3,0,0,3,6,6,6,3,0,0,0,3,6,6,6,6,2,0,3,6,6,6,5,0,0,0,0,3,6,6,6,6,2,3,6,6,6,4,0,0,0,0,1,6,6,6,6,3,2,6,6,6,6,0,0,0,0,1,6,6,6,6,3,0,4,6,6,6,5,1,0,1,5,6,6,6,5,1,0,1,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,1,3,4,2,2,2,2,2,0,0,0,0,0,8
2.0,0.0,2.0,129.5208614,0,0,1,3,6,6,6,6,6,5,3,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,4,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,6,6,6,6,6,1,0,4,6,6,6,6,1,0,0,5,6,6,6,6,0,0,2,6,6,6,6,5,0,0,0,3,6,6,6,5,2,2,6,6,6,6,6,0,0,0,0,2,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,0,0,0,0,0,6,6,6,6,6,6,6,6,6,3,0,0,0,0,2,6,6,6,6,6,6,6,6,6,5,0,0,0,0,6,6,6,6,4,0,4,6,6,6,6,0,0,0,1,6,6,6,6,3,0,1,6,6,6,6,2,0,0,3,6,6,6,6,5,2,3,6,6,6,6,6,0,0,0,5,6,6,6,6,6,6,6,6,6,6,5,0,0,0,1,5,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,0,2,4,4,4,3,1,0,0,0,8
2.0,0.0,2.0,138.2128614,0,3,6,6,6,4,6,6,6,6,6,3,0,0,0,5,6,6,6,6,6,6,6,6,6,6,6,4,0,0,6,6,6,6,6,4,3,1,1,6,6,6,6,2,0,5,6,6,6,3,0,0,0,0,6,6,6,6,1,0,0,3,6,6,6,3,0,0,0,6,6,6,6,0,0,0,0,1,6,6,6,5,3,3,6,6,6,6,0,0,0,0,0,4,6,6,6,6,6,6,6,6,2,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,0,0,2,6,6,6,6,6,6,6,3,0,0,0,0,0,0,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,5,6,6,6,1,3,6,6,6,1,0,0,0,0,0,3,6,6,5,0,0,5,6,6,6,3,0,0,0,0,5,6,6,4,0,0,1,6,6,6,6,0,0,0,0,2,6,6,6,5,4,5,6,6,6,6,4,0,0,0,0,5,6,6,6,6,6,6,6,6,6,5,0,0,0,0,0,3,4,4,4,4,4,4,4,3,0,8
2.0,0.0,2.0,131.3728614,0,0,3,4,4,4,6,4,4,3,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,2,0,0,0,0,0,6,6,6,6,5,5,6,6,6,6,2,0,0,0,0,6,6,6,5,0,0,3,6,6,6,6,1,0,0,0,6,6,6,3,0,0,0,4,6,6,6,5,0,0,0,6,6,6,6,3,1,0,0,4,6,6,6,0,0,0,2,6,6,6,6,6,4,2,5,6,6,6,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,4,0,0,3,6,6,6,6,6,6,6,6,6,6,6,6,0,3,6,6,6,6,1,0,3,6,6,6,6,6,6,0,1,6,6,6,6,0,0,0,1,3,6,6,6,6,0,5,6,6,6,3,0,0,0,0,0,6,6,6,6,1,4,6,6,6,6,1,0,0,0,0,6,6,6,6,3,2,6,6,6,6,6,3,2,2,5,6,6,6,6,0,0,3,6,6,6,6,6,6,6,6,6,6,5,1,0,0,0,3,4,4,4,4,4,4,4,4,3,0,0,0,8
2.0,0.0,2.0,132.9518614,0,0,1,4,4,4,4,4,4,4,4,1,0,0,0,0,2,6,6,6,6,4,6,6,6,6,6,2,0,0,0,5,6,6,5,1,0,0,1,5,6,6,3,0,0,0,3,6,6,3,0,0,0,0,3,6,6,4,0,0,0,4,6,6,3,0,0,0,0,3,6,6,6,0,0,0,5,6,6,4,0,0,0,0,3,6,6,6,0,0,0,0,5,6,6,3,0,0,0,3,6,6,5,0,0,0,0,0,5,6,6,5,2,3,6,6,6,4,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,2,0,0,0,0,5,6,6,6,6,6,6,6,6,6,3,0,0,0,3,6,6,6,3,0,1,5,6,6,6,4,0,0,0,4,6,6,4,0,0,0,0,4,6,6,6,2,0,0,6,6,6,3,0,0,0,0,1,6,6,6,3,0,0,6,6,6,5,1,0,0,0,3,6,6,6,2,0,0,6,6,6,6,6,6,4,5,6,6,6,6,0,0,0,1,2,4,4,4,4,4,4,4,4,4,2,0,8
1.0,1.0,1.0,190.5388614,0,3,6,6,5,4,4,4,4,2,0,0,0,0,0,1,6,6,6,6,6,6,6,6,6,6,3,0,0,0,5,6,6,6,5,2,2,3,5,6,6,6,5,1,0,6,6,6,6,3,0,0,0,0,3,6,6,6,5,0,4,6,6,6,3,0,0,0,0,0,4,6,6,6,0,3,6,6,6,3,0,0,0,0,0,0,6,6,6,3,3,6,6,6,5,0,0,0,0,0,1,6,6,6,2,0,3,6,6,6,5,1,0,0,0,3,6,6,6,0,0,0,1,5,6,6,6,5,4,4,6,6,6,6,0,0,2,2,0,3,4,4,5,6,6,6,6,6,3,0,4,6,6,3,0,0,0,0,1,5,6,6,6,1,0,4,6,6,3,0,0,0,0,0,0,4,6,6,6,0,0,6,6,5,0,0,0,0,0,0,0,4,6,6,2,0,6,6,6,5,1,0,0,2,1,1,5,6,6,6,0,5,6,6,6,6,6,6,6,6,6,6,6,6,3,0,0,3,4,4,4,4,4,4,4,4,4,4,1,0,8
2.0,0.0,2.0,134.8618614,0,1,2,2,2,2,4,4,4,4,2,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,6,3,0,0,0,3,6,6,6,5,2,3,6,6,6,6,6,2,0,0,3,6,6,6,3,0,0,6,6,6,6,6,3,0,0,3,6,6,6,3,0,0,6,6,6,6,6,3,0,0,3,6,6,6,3,0,0,3,6,6,6,6,3,0,0,3,6,6,6,3,0,0,0,3,6,6,6,3,0,0,3,6,6,6,5,1,1,3,6,6,6,5,0,0,0,0,6,6,6,6,6,6,6,6,6,6,3,0,0,0,1,6,6,6,6,6,6,6,6,6,6,3,0,0,0,3,6,6,6,6,4,6,6,6,6,6,6,1,0,1,6,6,6,5,1,0,1,6,6,6,6,6,3,0,3,6,6,6,3,0,0,0,1,5,6,6,6,4,0,3,6,6,6,6,3,0,0,0,4,6,6,6,6,2,2,6,6,6,6,6,5,4,5,6,6,6,6,6,2,0,3,4,4,4,4,4,4,4,4,4,4,4,1,0,8
2.0,0.0,2.0,126.6508614,0,0,0,0,1,3,4,4,4,4,4,2,1,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,2,0,0,0,3,6,6,6,5,2,2,5,6,6,6,6,1,0,0,3,6,6,4,0,0,0,0,6,6,6,6,3,0,0,3,6,6,5,0,0,0,0,6,6,6,6,2,0,0,3,6,6,6,3,0,0,3,6,6,6,4,0,0,0,3,6,6,6,6,5,5,6,6,6,6,2,0,0,0,4,6,6,6,6,6,6,6,6,6,1,0,0,0,3,6,6,3,2,3,4,4,6,6,6,4,0,0,2,6,6,3,0,0,0,0,0,1,6,6,6,3,0,3,6,6,3,0,0,0,0,0,0,6,6,6,3,0,3,6,6,3,0,0,0,0,0,1,6,6,6,3,0,3,6,6,3,0,0,0,0,4,6,6,6,6,3,0,1,6,6,5,1,0,1,5,6,6,6,6,3,0,0,0,2,6,6,6,6,6,6,6,6,3,0,0,0,0,0,0,1,4,4,4,3,2,2,0,0,0,0,0,0,8
2.0,0.0,2.0,139.7008614,0,0,2,4,6,6,6,6,6,5,4,4,1,0,0,2,6,6,6,6,6,6,6,6,6,6,6,6,3,0,4,6,6,6,1,0,0,0,0,4,6,6,6,6,0,6,6,6,1,0,0,0,0,0,2,6,6,6,6,0,6,6,6,5,0,0,0,0,0,1,6,6,6,6,0,6,6,6,3,0,0,0,0,0,3,6,6,6,6,0,2,6,6,6,3,0,0,0,1,5,6,6,5,1,0,0,6,6,6,6,6,4,5,6,6,6,6,3,0,0,3,6,6,6,6,6,6,6,6,6,6,6,3,0,0,4,6,6,6,5,3,2,2,4,6,6,6,6,3,0,6,6,6,6,0,0,0,0,0,1,5,6,6,6,4,6,6,6,6,0,0,0,0,0,0,0,6,6,6,4,6,6,6,6,0,0,0,0,0,0,3,6,6,6,3,6,6,6,6,0,0,0,0,0,4,6,6,6,6,1,5,6,6,6,3,2,3,5,6,6,6,6,6,3,0,0,3,4,4,4,4,4,4,4,4,4,4,1,0,0,8
2.0,0.0,2.0,131.6708614,0,0,0,0,2,4,4,4,4,4,1,0,0,0,0,0,3,6,6,6,6,6,6,6,6,6,1,0,0,0,0,6,6,6,6,3,0,1,5,6,6,6,4,1,0,0,6,6,6,4,0,0,0,0,5,6,6,6,3,0,0,3,6,6,6,3,0,0,0,0,6,6,6,6,0,0,0,1,6,6,6,6,4,2,5,6,6,6,3,0,0,0,3,6,6,5,4,6,6,6,6,6,6,3,0,0,3,6,6,4,0,0,1,5,6,6,6,6,1,0,0,0,6,6,3,0,0,0,1,5,6,6,4,0,0,0,2,6,6,3,0,0,0,0,2,6,6,6,2,0,0,5,6,6,2,0,0,0,0,0,4,6,6,5,0,0,4,6,6,1,0,0,0,0,0,3,6,6,6,0,0,6,6,6,4,0,0,0,0,0,4,6,6,6,0,0,6,6,6,6,1,0,0,0,3,6,6,6,2,0,0,5,6,6,6,6,4,2,5,6,6,5,1,0,0,0,0,1,3,4,2,4,4,4,2,0,0,0,0,0,8
2.0,0.0,2.0,132.7208614,0,0,0,0,0,3,6,6,6,6,4,2,0,0,0,0,0,0,2,5,6,6,6,6,6,6,6,6,3,0,0,0,5,6,6,6,5,4,4,6,6,6,6,6,0,0,0,6,6,6,6,0,0,0,3,6,6,6,6,0,0,1,6,6,6,4,0,0,0,3,6,6,6,6,1,0,3,6,6,6,4,0,0,0,0,6,6,6,6,3,0,0,6,6,6,6,5,4,4,5,6,6,6,6,0,1,5,6,6,6,6,6,6,6,6,6,6,6,3,0,3,6,6,6,6,5,2,2,2,5,6,6,6,3,0,6,6,6,6,4,0,0,0,0,0,6,6,6,4,0,6,6,6,6,1,0,0,0,0,0,5,6,6,6,0,6,6,6,6,2,0,0,0,0,0,0,6,6,6,3,2,6,6,6,3,0,0,0,0,0,0,6,6,6,2,0,2,6,6,6,3,1,0,0,1,5,6,6,6,0,0,0,5,6,6,6,6,4,4,6,6,6,6,6,0,0,0,0,2,4,4,4,4,4,4,4,4,4,3,0,8
2.0,0.0,2.0,130.8928614,0,0,0,2,4,4,6,6,6,6,4,2,0,0,0,0,3,6,6,4,2,2,2,2,5,6,6,6,2,0,0,6,6,3,0,0,0,0,0,0,6,6,6,4,0,0,6,6,6,0,0,0,0,0,0,3,6,6,6,0,0,6,6,6,1,0,0,0,0,0,0,6,6,6,2,0,5,6,6,6,3,2,2,2,0,0,4,6,6,6,0,1,6,6,6,6,6,6,6,6,6,6,6,6,4,0,1,6,6,6,6,6,5,4,6,6,6,6,6,0,0,5,6,6,6,3,0,0,0,1,5,6,6,6,1,0,6,6,6,6,0,0,0,0,0,0,4,6,6,5,0,6,6,6,6,0,0,0,0,0,0,3,6,6,6,0,4,6,6,6,2,0,0,0,0,0,3,6,6,6,0,0,6,6,6,3,0,0,0,0,0,1,6,6,6,0,0,6,6,6,4,0,0,0,0,3,5,6,6,2,0,0,1,4,6,6,5,4,4,5,6,6,6,3,0,0,0,0,0,1,3,4,4,4,4,4,2,0,0,0,8
